nama_pengulas,ulasan,rating,nama_gerai,text_clean,word_count,sentiment,aspek_rasa,sentimen_rasa,aspek_harga,sentimen_harga,aspek_pelayanan,sentimen_pelayanan,aspek_kecepatan,sentimen_kecepatan,aspek_kebersihan,sentimen_kebersihan,aspek_stok,sentimen_stok,aspek_aplikasi,sentimen_aplikasi,rating_num
Farah Aibatus syamsiah,"Beli disini harga terjangkau,ya dibandingkan dengan resto atau coffee shop yang berada di mall ini tentu sangat kompetitif harganya.Tidak mengurangi kualitas dan pelayanan tentu memuaskan.btw ini dibawa pulang aja karena ga sempat untuk nongkrong di sana. Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka,beli sini harga terjangkauya banding resto coffee shop mall kompetitif harganyatidak kurang kualitas layan memuaskanbtw bawa pulang ga nongkrong,19,positive,1,negative,1,negative,1,negative,0,None,0,None,0,None,0,None,5.0
Yulian NS,"Suka banget sama cita rasa Kopi Kenangan ini. Selain namanya yang pasti bikin baper, harganya yang terjangkau bikin orang rela antre panjang biar bisa menikmati minuman ini. Campuran gula aren dan kopi yang jadi bahan dasar Kopi Kenangan … Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka,suka banget cita kopi kenang nama bikin baper harga jangkau bikin rela antre biar nikmat minum campur gula aren kopi bahan dasar kopi kenang,24,positive,1,negative,1,negative,0,None,0,None,0,None,0,None,0,None,5.0
Rensus Sitorus,"Akhirnya kopi kenangan open di Kota Kasablanka.
Kopi kenangan berada di food society, bersatu dengan restaurant The Common. Rasanya cukup enak, tidak terlalu manis akan tetapi sedikit pahit. Untuk harganya … Lainnya",3 bintang,Kopi Kenangan - Kota Kasablanka,kopi kenang open kota kasablanka kopi kenang food society satu restaurant common enak manis pahit harga,16,neutral,1,negative,1,neutral,0,None,0,None,0,None,0,None,0,None,3.0
Prasaw Nayamul,"Kesini hanya beli titipan enyah roti isi daging asap kejunya. Gw suka juga roti isi ini,cukup oke. Kopi kenangan di kokas banyak pilihan pastri,roti,dan snacknya. Jadi bukan kopi aja. Pelayanan oke. Sayangnya disini gak ada smoking areanya. Lainnya",4 bintang,Kopi Kenangan - Kota Kasablanka,kesini beli titip enyah roti isi daging segera mungkin keju suka roti isi inicukup oke kopi kenang kokas pilih pastrirotidan snacknya kopi layan oke sayang sini gak smoking area,29,positive,1,negative,0,None,1,positive,0,None,1,neutral,0,None,0,None,4.0
Maria Pattiasina,"Kopi yang enak dan gak bisa dilupakan seperti kenangan. Pas bener namanya.  Dengan harga yang terjangkau.
Beli kopi kenangan kita bisa dapat diskon 10% untuk croissant di restaurant the common. Karena ada di satu lingkungan.",5 bintang,Kopi Kenangan - Kota Kasablanka,kopi enak gak lupa kenang pas benar nama harga jangkau beli kopi kenang diskon croissant restaurant common lingkung,18,positive,1,negative,1,neutral,0,None,0,None,0,None,0,None,0,None,5.0
Pertiwi Sapta,"Nyobain promo oatside latte. Encer bangettt rasanya kaya kebanyakan air, padahal es batu masi banyak (belum mencair semua). Kapok jadinya. Lainnya",1 bintang,Kopi Kenangan - Kota Kasablanka,nyobain promo oatside latte encer bangettt kaya banyak air es batu mas cair kapok,14,negative,1,negative,1,positive,1,negative,0,None,0,None,0,None,0,None,1.0
faizal karimuddin,"Outlet kopi kenangan yang nyaman untuk ngopi cantik bersama sahabat, agak padat sehingga harus sabar untuk memperoleh tempat duduk. Lainnya",4 bintang,Kopi Kenangan - Kota Kasablanka,outlet kopi kenang nyaman ngopi cantik sahabat agak padat sabar oleh duduk,12,positive,1,neutral,0,None,0,None,0,None,1,negative,1,neutral,0,None,4.0
Febriany Faridha,"Kopi seperti biasa enak. Tapi mohon untuk beberapa karyawan terutama yang laki2 di didik lagi, penampilan bagus tapi etika kurang. Contoh saat memberi pesanan ke customer matanya kemana2, bahkan ketika kasih pesanan ke saya ga langsung … Lainnya",3 bintang,Kopi Kenangan - Kota Kasablanka,kopi enak mohon karyawan laki didik tampil bagus etika contoh pesan customer mata kasih pesan ga,16,neutral,1,negative,0,None,1,negative,0,None,0,None,0,None,1,negative,3.0
Citra A.,"Pesen Pandan Aren Thai Tea pas promo kemerdekaan. Rasanya bukan Thai Tea tapi jatohnya lebih mirip milk tea entah karna banjir susu kental manis atau creamer. Dari warnanya bukan orange kayak Thai Tea pada umumnya, ini jadinya orange muda … Lainnya",1 bintang,Kopi Kenangan - Kota Kasablanka,sen pandan aren thai tea pas promo merdeka thai tea jatohnya mirip milk tea banjir susu kental manis creamer warna orange kayak thai tea orange muda,26,negative,1,negative,1,positive,0,None,0,None,0,None,0,None,0,None,1.0
Salsabila Pratiwi,Gak punya attitude pelayan yg namanya EZA tolong lah Kopken di didik lagi pelayanan yg di kokas. Saya beli kopi ini di tempat yg bukan di Mall gini gak ada yg gak sopan. Mending gausa kerja si EZA itu Lainnya,2 bintang,Kopi Kenangan - Kota Kasablanka,gak attitude layan nama eza kopken didik layan kokas beli kopi mall gin gak gak sopan lebih baik gausa kerja si eza,22,negative,1,negative,0,None,1,negative,0,None,0,None,0,None,0,None,2.0
Dewi Intan,"Akhirnya nyobain juga yg versi Matcha sambil kerja bentar di sofa. Saya pesan yg Matcha espresso, uda minta less sweet tp tetep aja kemanisan untuk saya.. huhu. … Lainnya",4 bintang,Kopi Kenangan - Kota Kasablanka,nyobain versi matcha kerja sebentar sofa pesan matcha espresso uda sweet tetep manis huhu,14,positive,1,negative,0,None,0,None,0,None,1,positive,0,None,1,negative,4.0
Haikal ajq,"Dapat orderan dari Benhil, sampe resto sekitar 30 menit lebih, sampe resto  aplikasi ga aktif.
Parah",1 bintang,Kopi Kenangan - Kota Kasablanka,order benhil resto menit resto aplikasi ga aktif parah,9,negative,1,negative,0,None,0,None,1,positive,0,None,0,None,1,negative,1.0
Abdul Halim Damar Harsono,tolong yang namanya EZA diajarin adab sama pelanggan ya. sama customer kaya ngajak ribut. saya beli. bukan ngemis. tolong dong jangan karena oknum nama kopi kenangan jadi buruk Lainnya,1 bintang,Kopi Kenangan - Kota Kasablanka,nama eza diajarin adab langgan iya customer kaya ngajak ribut beli ngemis oknum nama kopi kenang buruk,17,negative,1,negative,0,None,0,None,0,None,0,None,0,None,0,None,1.0
Nabellahaq sufi,"Pas datang, hanya tersisa 1 meja. Saya minta tolong bersihin meja kepada petugasnya, karena kondisinya kotor sekali. Sampahnya malah didorong ke saya bukan diangkat, padahal bawa tray sampah. Lainnya",4 bintang,Kopi Kenangan - Kota Kasablanka,pas sisa meja bersihin meja tugas kondisi kotor sampah dorong angkat bawa tray sampah,14,positive,0,None,1,negative,0,None,0,None,1,negative,0,None,0,None,4.0
annisa ghina zahira,"Sampai crosscheck berkali-kali ini beneran oatside ga ya, plis banget ini hambar gaada rasa samsek kaya air + kopi susu sachet beda banget sama cab. lain , kecewa :( Lainnya",1 bintang,Kopi Kenangan - Kota Kasablanka,crosscheck berkalikali beneran oatside ga iya plis banget hambar tidak ada uang sama sekali kaya air kopi susu sachet beda banget cab kecewa,23,negative,1,negative,0,None,0,None,0,None,0,None,0,None,0,None,1.0
Tomi Pamungkas,"gak ada respect sama pelanggan. pesen takeaway, kopi sudah jadi dan siap tapi malah ditaruh di atas mesin kopi bukannya ditaruh di counter. sementara kita udah nunggu lama banget berdiri dicuekin. Lainnya",2 bintang,Kopi Kenangan - Kota Kasablanka,gak respect langgan sen takeaway kopi taruh mesin kopi bukan taruh counter nunggu banget diri dicuekin,16,negative,1,negative,0,None,0,None,0,None,0,None,0,None,0,None,2.0
Tika Sam,"kopi dan rotinya, gak usah diraguin lagi, enak.
pelayanannya juga enak.
nowadays, banyak orang nongkrong di kopken sambil kerja remote termasuk gw. … Lainnya",4 bintang,Kopi Kenangan - Kota Kasablanka,kopi roti gak diraguin enak layan enak nowadays nongkrong kopken kerja remote,12,positive,1,negative,0,None,1,negative,0,None,0,None,0,None,0,None,4.0
Gery Geraldo,"Ini mah kopi kesukaan dan jugq langganan saya, pesen yg menu kopi kenangan mantan! Wiw rasanya jd bisa move on dengan mantan hehehe... harganya standard Jakarta kok, saya pesan yg ukuran besar! … Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka,mah kopi suka jugq langgan sen menu kopi kenang wiw move on hehehe harga standard jakarta pesan ukur,18,positive,1,negative,1,neutral,0,None,0,None,0,None,1,neutral,1,negative,5.0
rifaldi irianto,"Tempat ngopi murah di kokas. Kopi kenngan sellu jadi pilihan pas dikantong buat gue sebagai kaum low badget. Yang menariknya meskipun harga murah namun pelyanan tetap best of the best, dan store kokas ini cukup cozy. Just hope semoga kopi kenangan semakin jaya dan ramai terus. Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka,ngopi murah kokas kopi kenngan sellu pilih pas kantong kaum badget tarik meski harga murah pelyanan best of best store kokas cozy just hope moga kopi kenang jaya ramai,29,positive,1,positive,1,positive,0,None,0,None,0,None,0,None,0,None,5.0
Yasaaro Halawa,"Area yang luas, nyaman, cocok buat tenangin diri sendiri, hehe...
Pelayanan Cepat dan Ramah pada umumnya. Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka,area luas nyaman cocok tenangin he layan cepat ramah,9,positive,0,None,0,None,1,negative,1,negative,1,positive,0,None,0,None,5.0
Katrina Ardiyani,"Outlet kopi kenangan di Kota Kasablanka sangat nyaman karena ada tempat duduk dan di sebelahnya ada pilihan jajanan. Semacam mini food corners.  Letaknya di Food Society bawah, sangat mudah dicari. … Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka,outlet kopi kenang kota kasablanka nyaman duduk belah pilih jajan mini food corners letak food society mudah cari,18,positive,1,negative,0,None,0,None,0,None,1,negative,1,negative,0,None,5.0
H H,"Recommended for sure…‼️‼️‼️

Avocado Coffee (Oatside Milk) No Sugar…. … Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka,recommended for sure avocado coffee oatside milk sugar,8,positive,0,None,0,None,0,None,0,None,0,None,0,None,0,None,5.0
Sur Yani,"Sy beli americano,normal sugar mnrt sy krg manis sdkt bgt utk racikanya jd sy mnta tambh sdkt gula fyi sy srg req add sugar d bbrpa outlet tdk ada charge ya tp d sini kok ada ya pdhl sy mnta jg nggk banyak kok sangat disayangkan utk pelayananya😝 … Lainnya",1 bintang,Kopi Kenangan - Kota Kasablanka,beli americanonormal sugar mnrt krg manis banget racikanya mnta tambh gula bagai informasi srg req add sugar bbrpa outlet charge iya iya pdhl mnta nggk sayang pelayananya,27,negative,1,negative,0,None,1,negative,0,None,1,negative,1,negative,0,None,1.0
Meita Ma,"Kopi Kenangan Mantannya masih konsisten sih sejak awal disetiap cabang. Ordernya lewat aplikasi Kopi Kenangan, free upsize. Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka,kopi kenang mantan konsisten sih awal tiap cabang order aplikasi kopi kenang free upsize,14,positive,1,negative,0,None,0,None,0,None,0,None,0,None,1,negative,5.0
Imam Ibrahim,"Saya pesen lewat apps KK, saya salah pilih jadwal pick up, saya WA ke CS gak guna, akhirnya saya minta tolong ke kasir an mba anisha untuk bisa  d ambil jam 3, dan mas tirta served me very well … Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka,sen apps kakak salah pilih jadwal pick up wa cs gak kasir an mbak anisha ambil jam mas tirta served me very well,23,positive,0,None,0,None,1,negative,1,negative,0,None,0,None,1,negative,5.0
ira Fm,"Ngopi hemat di mall ya tetep kopi kenangan. Harga murah dan kopinya enak.
Tempatny nyaman banyak tersedia tempat duduk dan bersih Lainnya",4 bintang,Kopi Kenangan - Kota Kasablanka,ngopi hemat mall iya tetep kopi kenang harga murah kopi enak tempatny nyaman sedia duduk bersih,16,positive,1,positive,1,positive,0,None,0,None,1,positive,1,positive,0,None,4.0
diah natalia,"Sudah jauh lebih baik taste nya dibanding awal buka beberapa tahun yll, cm sellernya bikin males deh masa order saya gak dipanggil namanya... Emangnya mau dimaling apa pesanan saya... Dasar staff aneh Lainnya",3 bintang,Kopi Kenangan - Kota Kasablanka,taste nya banding awal buka yll cm sellernya bikin males deh order gak panggil nama memang maling pesan dasar staff aneh,21,neutral,1,negative,0,None,1,negative,0,None,0,None,0,None,1,negative,3.0
Wiratna Arneta,"Rasa kopinya sama seperti kopi kenangan pada umumnya yang suka saya beli, enak. Tapi tadi siang sekitar jam setengah 11 saya beli ice americano di kopken kokas pelayan perempuan yang pakai kerudung bnr2 bad attitude. Pertama saya salah … Lainnya",2 bintang,Kopi Kenangan - Kota Kasablanka,kopi kopi kenang suka beli enak siang jam beli ice americano kopken kokas layan perempuan pakai kerudung bnr bad attitude salah,21,negative,1,negative,0,None,1,negative,1,negative,0,None,0,None,0,None,2.0
Shelvi Tya Nurani,"Rasa lumayan,harga antara rp. 5000 s/d  rp. 42.000, biasanya jam istirahat kantor akan ramai sehingga antrian panjang. Pelayanan ramah",4 bintang,Kopi Kenangan - Kota Kasablanka,lumayanharga rp sd rp jam istirahat kantor ramai antri layan ramah,11,positive,0,None,0,None,1,neutral,1,negative,0,None,0,None,0,None,4.0
Hani Yahya,"Selaluu rame.... tp enaak klo dah duduk dsana jd lupa waktuu😂😂 …
Jenis pesanan…
Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka,selaluu ramai enaak deh duduk dsana lupa waktuu pesan,9,positive,1,neutral,0,None,0,None,0,None,0,None,0,None,1,neutral,5.0
Ade Yunni Arista Siregar,"Caramel Latte yang normal agak terlalu manis, untuk yang kurang suka manis bisa minta less sugar. Kopi kenangan mantan enak, manisnya pas.",4 bintang,Kopi Kenangan - Kota Kasablanka,caramel latte normal agak manis suka manis sugar kopi kenang enak manis pas,13,positive,1,negative,1,positive,0,None,0,None,0,None,0,None,0,None,4.0
Eka Hardytia,"Kopi nya enak tapi terlalu manis, harga nya oke",4 bintang,Kopi Kenangan - Kota Kasablanka,kopi nya enak manis harga nya oke,7,positive,1,negative,1,positive,0,None,0,None,0,None,0,None,0,None,4.0
Wahyu Hidayat,"Kopi & Roti nya 👍
Enak buat nongkrong klo weekdays …
Jenis pesanan
Bawa p…
Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka,kopi roti nya enak nongkrong weekdays pesan bawa p,9,positive,1,negative,0,None,0,None,0,None,0,None,0,None,1,neutral,5.0
Diecy Franky Gandasuli,"Kopi favorit saya uda 3 thn terakhir,
Jenis pesanan
Bawa pulang…
Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka,kopi favorit uda pesan bawa pulang,6,positive,1,negative,0,None,0,None,0,None,0,None,0,None,1,neutral,5.0
Hariyanto KTM,Menikmati minuman pelepas kantuk dan lelah setelah berjalan mengantar keluarga refresing dan berbelanja...,4 bintang,Kopi Kenangan - Kota Kasablanka,nikmat minum lepas kantuk lelah jalan antar keluarga refresing belanja,10,positive,1,negative,1,negative,0,None,0,None,0,None,0,None,0,None,4.0
Eriandra Budhisurya,"Kopi kenangan, salah satu kopi favorit saya. Dengan harga yg terbilang murah u/ kopi kekinian, rasa yg ditawarkan tidak lah murahan. Setiap hari minggu, tempat ini tidak pernah sepi.",4 bintang,Kopi Kenangan - Kota Kasablanka,kopi kenang salah kopi favorit harga bilang murah kopi kini tawar murah sepi,13,positive,1,negative,1,negative,0,None,0,None,0,None,0,None,0,None,4.0
Fanny Melinda,"banyak variasi foodnya👍🏻 …
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka,variasi foodnya pesan makan,4,positive,1,neutral,0,None,0,None,0,None,0,None,0,None,1,neutral,5.0
Lisda Damayanti,"Avocado coffee dan kopi kenangan mantan jadi menu fav nya aku, nongkrong sambil minum kopi kenangan ditemani live music...mantappp Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka,avocado coffee kopi kenang menu fav nya nongkrong minum kopi kenang tani live musicmantappp,14,positive,1,positive,0,None,0,None,0,None,0,None,1,positive,0,None,5.0
Inten Pradnya Suamami,"Sy mau beli lewat counter. Tp ga ada karyawan yg gubris atau nyahutin sy ngomong. Padahal sy sudah bilang ""mas mau pesan""
Tp mas2 kasir tetep otak atik monitor dan kembali ke mesin sealing dan masuk2in … Lainnya",2 bintang,Kopi Kenangan - Kota Kasablanka,beli counter ga karyawan gubris nyahutin bicara bilang mas pesan mas kasir tetep otak atik monitor mesin aling masuk,19,negative,1,negative,0,None,1,negative,0,None,0,None,0,None,1,negative,2.0
Arfiyah Citra Eka Dewi,"Sebenarnya makanan dan situasi cafenya bagus dan bersih. Namun pelayanannya perluuu ditingkatkan, terutama pramusaji perempuan yang kerja hari Sabtu tanggal 18 Mei 2024 jam 10.00 pagi. Jutek parah, nggak ngajarin sama sekali pakai aplikasi kopi kenangan, ditinggalin begitu aja. Apa ada masalah hidup dianya. Lainnya",4 bintang,Kopi Kenangan - Kota Kasablanka,makan situasi cafenya bagus bersih layan perluuu tingkat pramusaji perempuan kerja tanggal mei jam pagi galak parah ngajarin pakai aplikasi kopi kenang ditinggalin dia,24,positive,1,negative,0,None,1,negative,1,negative,1,positive,0,None,1,negative,4.0
Aldi Salvianto,"Kopinya enak sesuai selera
Tempatnya nyaman dan bersih
Enak buat nongkrong
🌟🌟🌟🌟🌟 …
Jenis pesanan…
Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka,kopi enak selera tempat nyaman bersih enak nongkrong pesan,9,positive,1,negative,0,None,0,None,0,None,1,positive,0,None,1,neutral,5.0
Michael Sjukrie,Wah paling rame nih… protokol CHSEnya lengkap….👍👍 …,5 bintang,Kopi Kenangan - Kota Kasablanka,ramai protokol chsenya lengkap,4,positive,0,None,0,None,0,None,0,None,0,None,0,None,0,None,5.0
danirizkyr,"seperti biasa, kopken jadi tempat nyaman kalo mau nongkrong atau laptopan
Jenis pesanan…
Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka,kopken nyaman nongkrong laptop pesan,5,positive,1,neutral,0,None,0,None,0,None,1,negative,0,None,1,neutral,5.0
Sevriandi Cahyana,"Ngopi d ngobrol cocok dengan tempt di dalam mall casa grande
Jenis pesanan…
Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka,ngopi ngobrol cocok tempt dalam mall casa grande pesan,9,positive,1,neutral,0,None,0,None,0,None,0,None,0,None,1,neutral,5.0
Willy Tjen,Cuek parah mau redem promo katanya abis padahal di apk ready padahal udaha bayar malah diarahin ke store lain gajelas !!,1 bintang,Kopi Kenangan - Kota Kasablanka,cuek parah redem promo habis apk ready udaha bayar diarahin store gajelas,12,negative,0,None,1,negative,1,negative,0,None,0,None,1,positive,0,None,1.0
Rayna Afriani,"ramai trus mantap
Makanan: 5
Layanan:…
Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka,ramai trus mantap makan layan,5,positive,0,None,0,None,1,neutral,0,None,0,None,0,None,0,None,5.0
heriyadi setiono,"Lumayan ada tempat duduknya nyaman sambil nunggu kopi
Jenis pesanan
Bawa…
Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka,lumayan duduk nyaman nunggu kopi pesan bawa,7,positive,1,negative,0,None,0,None,1,negative,1,negative,0,None,1,neutral,5.0
Pungki Yunita Chandrasari,"Kopinya enak, letaknya di the common kokas, tiap kesini selalu antri karena peminatnya banyak. pelayanannya cepat",5 bintang,Kopi Kenangan - Kota Kasablanka,kopi enak letak common kokas kesini antri minat layan cepat,10,positive,1,negative,0,None,1,negative,1,negative,0,None,0,None,0,None,5.0
Maria Mahdalena Sibuea,Pilihan kopi dan rotinya enak,5 bintang,Kopi Kenangan - Kota Kasablanka,pilih kopi roti enak,4,positive,1,positive,0,None,0,None,0,None,0,None,0,None,0,None,5.0
Nanda Annisyar Rais,"Aku suka banget beli kopi kenangan sama rotinya. Kayaknya padu padannya tuh pas gitu, ngeyangin juga. Tapi, aku kepo aja sih sedikit, apa kopi kenangan bikin roti sendiri apa gimana? Dan kualitas dari bahan-bahannya bisa dilihat di mana ya? Makasih.",3 bintang,Kopi Kenangan - Kota Kasablanka,suka banget beli kopi kenang roti kayak padu padan tuh pas ngeyangin mau tahu urus orang sih kopi kenang bikin roti kualitas bahanbahannya lihat iya terima kasih,27,neutral,1,positive,1,neutral,0,None,0,None,0,None,0,None,0,None,3.0
Mutia Fauziah,Harus cobain yang bobanya teh susu nya worth it dengan harga 20k enach bgt gaboong,5 bintang,Kopi Kenangan - Kota Kasablanka,cobain bobanya kakak perempuan susu nya worth it harga enach banget gaboong,12,positive,1,negative,1,negative,0,None,0,None,1,negative,0,None,0,None,5.0
Farah Ayu Fadhila,"Aku suka beli kopi sama rotinya kopken, enakkk. Tapi penasaran soal bahan bakunya, soalnya baru baca tentang kandang baterai ngeri bangett. Kan biasanya roti pake telor tuh, penasaran telornya masih dari kandang baterai juga gak?",3 bintang,Kopi Kenangan - Kota Kasablanka,suka beli kopi roti kopken enakkk penasaran bahan baku baca kandang baterai ngeri bangett kan roti pakai telor tuh penasaran telor kandang baterai gak,24,neutral,1,negative,0,None,0,None,0,None,1,negative,0,None,0,None,3.0
